year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2022,6,9E,Endeavor Air Inc.,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",133.00,14.00,9.28,0.03,1.65,0.00,3.04,3.00,0.00,853.00,625.00,2.00,56.00,0.00,170.00
2022,6,9E,Endeavor Air Inc.,ABY,"Albany, GA: Southwest Georgia Regional",89.00,15.00,7.24,1.00,1.78,0.00,4.98,1.00,1.00,853.00,545.00,48.00,43.00,0.00,217.00
2022,6,9E,Endeavor Air Inc.,ACK,"Nantucket, MA: Nantucket Memorial",120.00,12.00,5.25,1.00,2.00,0.00,3.75,5.00,1.00,2045.00,424.00,901.00,237.00,0.00,483.00
2022,6,9E,Endeavor Air Inc.,AEX,"Alexandria, LA: Alexandria International",78.00,15.00,4.03,2.57,4.51,0.00,3.89,1.00,0.00,1647.00,626.00,231.00,182.00,0.00,608.00
2022,6,9E,Endeavor Air Inc.,AGS,"Augusta, GA: Augusta Regional at Bush Field",176.00,22.00,12.78,1.00,4.34,0.00,3.89,3.00,0.00,1114.00,701.00,92.00,166.00,0.00,155.00
2022,6,9E,Endeavor Air Inc.,ALB,"Albany, NY: Albany International",115.00,16.00,6.07,0.00,2.02,0.00,7.91,9.00,0.00,1808.00,271.00,0.00,127.00,0.00,1410.00
2022,6,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2766.00,476.00,134.10,20.23,81.44,0.00,240.23,49.00,16.00,44597.00,19019.00,1642.00,4062.00,0.00,19874.00
2022,6,9E,Endeavor Air Inc.,ATW,"Appleton, WI: Appleton International",68.00,12.00,5.86,0.27,3.28,0.00,2.59,0.00,0.00,876.00,403.00,12.00,107.00,0.00,354.00
2022,6,9E,Endeavor Air Inc.,AUS,"Austin, TX: Austin - Bergstrom International",48.00,5.00,3.81,0.00,0.38,0.00,0.81,4.00,0.00,333.00,252.00,0.00,29.00,0.00,52.00
2022,6,9E,Endeavor Air Inc.,AVL,"Asheville, NC: Asheville Regional",56.00,8.00,4.33,0.00,1.80,0.00,1.88,7.00,0.00,653.00,284.00,0.00,147.00,0.00,222.00
2022,6,9E,Endeavor Air Inc.,AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International",90.00,16.00,12.44,0.00,2.74,0.00,0.82,1.00,0.00,869.00,780.00,0.00,66.00,0.00,23.00
2022,6,9E,Endeavor Air Inc.,BGM,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field",30.00,6.00,3.87,0.00,0.39,0.00,1.74,0.00,0.00,328.00,185.00,0.00,14.00,0.00,129.00
2022,6,9E,Endeavor Air Inc.,BGR,"Bangor, ME: Bangor International",182.00,31.00,11.20,2.89,6.75,0.00,10.17,29.00,1.00,2937.00,537.00,1363.00,198.00,0.00,839.00
2022,6,9E,Endeavor Air Inc.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",51.00,7.00,3.07,0.00,2.55,0.00,1.38,10.00,0.00,538.00,306.00,0.00,166.00,0.00,66.00
2022,6,9E,Endeavor Air Inc.,BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",68.00,7.00,3.87,0.26,1.23,0.00,1.64,1.00,0.00,336.00,148.00,6.00,49.00,0.00,133.00
2022,6,9E,Endeavor Air Inc.,BNA,"Nashville, TN: Nashville International",142.00,23.00,6.57,0.11,9.49,0.00,6.83,15.00,1.00,1309.00,395.00,16.00,426.00,0.00,472.00
2022,6,9E,Endeavor Air Inc.,BOS,"Boston, MA: Logan International",279.00,51.00,10.29,1.25,24.81,0.00,14.65,26.00,0.00,4061.00,653.00,165.00,1526.00,0.00,1717.00
2022,6,9E,Endeavor Air Inc.,BQK,"Brunswick, GA: Brunswick Golden Isles",89.00,17.00,8.48,1.52,4.14,0.00,2.85,2.00,0.00,1415.00,877.00,137.00,108.00,0.00,293.00
2022,6,9E,Endeavor Air Inc.,BTR,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",10.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,21.00,0.00,0.00,21.00,0.00,0.00
2022,6,9E,Endeavor Air Inc.,BTV,"Burlington, VT: Burlington International",167.00,23.00,7.93,0.00,4.12,0.00,10.95,15.00,1.00,2317.00,512.00,0.00,527.00,0.00,1278.00
2022,6,9E,Endeavor Air Inc.,BUF,"Buffalo, NY: Buffalo Niagara International",186.00,26.00,6.54,1.86,7.24,0.00,10.36,17.00,1.00,2280.00,729.00,80.00,506.00,0.00,965.00
2022,6,9E,Endeavor Air Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",90.00,17.00,7.21,0.88,2.35,0.00,6.56,14.00,0.00,936.00,242.00,63.00,181.00,0.00,450.00
2022,6,9E,Endeavor Air Inc.,CAE,"Columbia, SC: Columbia Metropolitan",31.00,9.00,3.15,0.61,2.39,0.00,2.85,6.00,0.00,535.00,226.00,110.00,102.00,0.00,97.00
2022,6,9E,Endeavor Air Inc.,CHA,"Chattanooga, TN: Lovell Field",109.00,20.00,12.84,0.78,4.47,0.00,1.91,0.00,0.00,1269.00,886.00,73.00,179.00,0.00,131.00
2022,6,9E,Endeavor Air Inc.,CHO,"Charlottesville, VA: Charlottesville Albemarle",165.00,31.00,13.34,3.59,9.74,0.00,4.34,15.00,0.00,1990.00,1006.00,183.00,486.00,0.00,315.00
2022,6,9E,Endeavor Air Inc.,CHS,"Charleston, SC: Charleston AFB/International",155.00,18.00,4.54,0.00,8.02,0.00,5.44,24.00,2.00,1622.00,432.00,0.00,343.00,0.00,847.00
